skill,demand,avg_salary,demand_norm,salary_norm,skill_score,rank,category,market_level
python,491,123.37983706720978,1.0,0.291631387445937,0.7166525549783748,1,Programming,High Value Skill
machine learning,372,124.4758064516129,0.7566462167689162,0.3189964157706091,0.5815862963695934,2,Machine Learning,Strong Skill
statistics,328,126.30030487804878,0.6666666666666666,0.3645519320361742,0.5458207728144696,3,Data Analysis,Strong Skill
r,335,124.08805970149254,0.6809815950920245,0.3093148489760933,0.532314896645652,4,Programming,Strong Skill
sql,301,125.42857142857144,0.6114519427402862,0.3427858034599608,0.503985487028156,5,Data Analysis,Strong Skill
r,308,123.52597402597402,0.6257668711656442,0.2952802503364299,0.4935722228339585,6,Programming,Strong Skill
excel,263,122.40684410646388,0.5337423312883436,0.2673369314972253,0.4271801713718963,7,Data Analysis,Strong Skill
deep learning,2,151.75,0.0,1.0,0.4,8,Machine Learning,Strong Skill
data analysis,174,126.15517241379312,0.3517382413087934,0.3609281501571313,0.3554142048481286,9,Data Analysis,Average Skill
aws,4,145.125,0.0040899795501022,0.83458177278402,0.3362866968436693,10,Cloud / Big Data,Average Skill
spark,140,124.93928571428572,0.2822085889570552,0.3305689316925272,0.301552726051244,11,Cloud / Big Data,Average Skill
aws,170,120.2235294117647,0.3435582822085889,0.2128222075346991,0.291263852339033,12,Cloud / Big Data,Average Skill
tableau,123,125.78048780487804,0.2474437627811861,0.3515727292104381,0.2890953493528869,13,Visualization,Average Skill
git,128,125.1328125,0.2576687116564417,0.335401061173533,0.2887616514632782,14,Tools,Average Skill
machine learning,46,135.1195652173913,0.0899795501022494,0.5847581827063998,0.2878910031439096,15,Machine Learning,Average Skill
nlp,55,131.5090909090909,0.1083844580777096,0.4946090114629438,0.2628742794318033,16,Machine Learning,Average Skill
tensorflow,103,124.38349514563107,0.2065439672801636,0.3166915142479668,0.2506029860672849,17,Other,Average Skill
deep learning,95,124.48947368421052,0.1901840490797546,0.3193376700177409,0.2418454974549491,18,Machine Learning,Average Skill
hadoop,58,128.0,0.1145194274028629,0.4069912609238451,0.2315081608112558,19,Cloud / Big Data,Average Skill
hadoop,85,124.67647058823528,0.1697341513292433,0.3240067562605565,0.2314431933017686,20,Cloud / Big Data,Average Skill
power bi,34,130.60294117647058,0.065439672801636,0.4719835499742966,0.2280572236707002,21,Visualization,Average Skill
excel,33,127.01515151515152,0.0633946830265848,0.3824007868951689,0.1909971245740185,22,Data Analysis,Average Skill
numpy,57,123.1842105263158,0.1124744376278118,0.2867468296208687,0.1821833944250346,23,Other,Average Skill
spark,49,124.1122448979592,0.0961145194274028,0.3099187240439247,0.1816362012740116,24,Cloud / Big Data,Average Skill
pandas,66,120.6590909090909,0.130879345603272,0.2236976506639426,0.1680066676275402,25,Other,Average Skill
scikit learn,57,119.99122807017544,0.1124744376278118,0.2070219243489497,0.150293432316267,26,Other,Average Skill
docker,22,124.11363636363636,0.0408997955010225,0.3099534672568379,0.1485212642033486,27,Tools,Average Skill
r,23,121.30434782608695,0.0429447852760736,0.2398089344840687,0.1216904449592716,28,Programming,Average Skill
git,19,121.39473684210526,0.0347648261758691,0.2420658387541887,0.1176852312071969,29,Tools,Average Skill
sql,55,115.3,0.1083844580777096,0.089887640449438,0.1009857310264009,30,Data Analysis,Average Skill
data analysis,7,120.71428571428572,0.0102249488752556,0.2250757981095057,0.0961652885689556,31,Data Analysis,Average Skill
docker,18,114.86111111111111,0.032719836400818,0.0789291163822999,0.0512035483934107,32,Tools,Average Skill
r,6,116.08333333333331,0.0081799591002045,0.109446525176862,0.0486865855308675,33,Programming,Average Skill
statistics,5,111.7,0.0061349693251533,0.0,0.003680981595092,34,Data Analysis,Average Skill
